ts_code,trade_date,bid_open,bid_close,bid_high,bid_low,ask_open,ask_close,ask_high,ask_low,tick_qty
AI.FR,20250403,173.66,173.86,177.89,173.03,174.19,174.39,178.43,173.73,96399
NAS100,20250403,18494.49,17375.18,18572.85,17246.98,18496.19,17376.88,18574.95,17249.08,4413734
UKOIL,20250403,69.834,66.119,70.086,64.0,69.874,66.159,70.146,64.06,267246
DB1.DE,20250403,280.28,261.68,284.3,260.58,280.91,262.31,285.5,261.3,23987
TRAVEL,20250403,4539.29,4334.23,4539.29,4308.31,4540.29,4335.23,4540.29,4330.84,30426
TRYJPY.FXCM,20250403,3.742,3.802,3.847,3.742,3.938,3.928,3.938,3.822,61112
LCID.US,20250403,2.29,2.22,2.29,2.0,2.42,2.34,2.42,2.13,1720
V.US,20250403,338.53,312.53,338.53,311.94,339.06,313.06,339.06,312.67,23136
BITF.US,20250403,0.76,0.68,0.76,0.65,0.89,0.84,0.89,0.78,4092
ESP35,20250403,13216.5,12373.56,13216.5,12235.07,13220.5,12393.56,13220.5,12243.07,121725
JAZZ.US,20250403,120.32,109.57,120.32,109.17,121.27,110.21,121.27,109.87,3991
PLTR.US,20250403,83.58,73.87,83.58,71.86,83.7,73.99,83.7,72.0,167723
HOG.US,20250403,22.93,22.95,23.06,21.06,23.06,23.08,23.27,21.22,9089
US.AUTO,20250403,3624.12,3425.68,3624.12,3320.06,3625.12,3426.68,3625.12,3324.64,195395
ZM.US,20250403,73.0,67.68,73.0,66.93,73.32,67.8,73.32,67.13,6962
BA.US,20250403,150.72,136.55,150.72,132.66,150.94,136.78,150.94,132.94,40548
DASH.US,20250403,173.93,163.32,173.93,162.32,174.16,163.54,174.16,163.04,10226
TSCO.UK,20250403,343.96,340.09,348.96,340.09,345.96,342.99,351.06,342.46,17147
MA.US,20250403,529.52,487.64,529.52,487.63,530.25,492.39,530.25,489.06,15728
INTC.US,20250403,22.37,19.81,22.37,19.63,22.49,19.93,22.49,19.77,29329
LCATTLEF,20250403,204.763,198.162,204.763,198.137,204.813,198.212,204.813,198.212,12862
HOOD.US,20250403,38.16,34.43,38.16,31.52,38.29,34.56,38.29,31.66,76300
IBHY,20250403,166.429,163.701,166.429,162.519,166.629,164.371,166.629,163.58,7968
CANNABIS,20250403,1168.12,1101.25,1168.12,1086.38,1169.12,1102.25,1169.12,1095.29,7749
