trade_date,ts_code,up_limit,down_limit
20250403,001333.SZ,28.73,23.51
20250403,001336.SZ,23.72,19.4
20250403,001337.SZ,25.4,20.78
20250403,001338.SZ,12.77,10.45
20250403,001339.SZ,55.77,45.63
20250403,001356.SZ,18.57,15.19
20250403,001358.SZ,25.8,21.11
20250403,001359.SZ,37.86,30.98
20250403,001360.SZ,15.03,12.29
20250403,001366.SZ,11.98,9.8
20250403,001367.SZ,31.69,25.93
20250403,001368.SZ,24.75,20.25
20250403,001373.SZ,32.55,26.63
20250403,001376.SZ,15.2,12.44
20250403,001378.SZ,24.89,20.37
20250403,001379.SZ,23.19,18.97
20250403,001380.SZ,34.4,28.14
20250403,001382.SZ,27.13,22.19
20250403,001387.SZ,15.11,12.37
20250403,001389.SZ,59.43,48.63
20250403,001391.SZ,7.5,6.14
20250403,001395.SZ,47.55,38.91
20250403,001696.SZ,23.88,19.54
20250403,001872.SZ,22.63,18.51
20250403,001896.SZ,4.42,3.62
20250403,001914.SZ,13.39,10.95
20250403,001965.SZ,14.75,12.07
20250403,001979.SZ,10.27,8.41
20250403,002001.SZ,24.23,19.83
20250403,002003.SZ,13.62,11.14
20250403,002004.SZ,4.46,3.65
20250403,002005.SZ,1.88,1.7
20250403,002006.SZ,19.67,16.09
20250403,002007.SZ,17.61,14.41
20250403,002008.SZ,30.64,25.07
20250403,002009.SZ,16.2,13.26
20250403,002010.SZ,5.96,4.88
20250403,002011.SZ,13.35,10.93
20250403,002012.SZ,5.2,4.26
20250403,002014.SZ,13.26,10.85
20250403,002015.SZ,8.35,6.83
20250403,002016.SZ,6.57,5.37
20250403,002017.SZ,11.52,9.42
20250403,002019.SZ,12.87,10.53
20250403,002020.SZ,16.13,13.19
20250403,002021.SZ,2.45,2.01
20250403,002022.SZ,6.46,5.28
20250403,002023.SZ,11.04,9.04
20250403,002024.SZ,2.04,1.84
20250403,002025.SZ,60.56,49.55
20250403,002026.SZ,12.87,10.53
20250403,002027.SZ,7.6,6.22
20250403,002028.SZ,83.52,68.34
20250403,002029.SZ,7.15,5.85
20250403,002030.SZ,6.61,5.41
20250403,002031.SZ,9.59,7.85
20250403,002032.SZ,65.22,53.36
20250403,002033.SZ,10.45,8.55
20250403,002034.SZ,20.16,16.5
20250403,002035.SZ,8.04,6.58
20250403,002036.SZ,12.54,10.26
20250403,002037.SZ,8.73,7.15
20250403,002038.SZ,7.52,6.16
20250403,002039.SZ,17.18,14.06
20250403,002040.SZ,7.24,5.92
20250403,002041.SZ,11.22,9.18
20250403,002042.SZ,6.62,5.42
20250403,002043.SZ,11.58,9.48
20250403,002044.SZ,6.26,5.12
20250403,002045.SZ,18.44,15.08
20250403,002046.SZ,17.18,14.06
20250403,002047.SZ,2.55,2.09
20250403,002048.SZ,16.84,13.78
20250403,002049.SZ,74.28,60.78
20250403,002050.SZ,31.72,25.96
20250403,002051.SZ,8.99,7.35
20250403,002052.SZ,6.88,6.22
20250403,002053.SZ,12.65,10.35
20250403,002054.SZ,6.99,5.72
20250403,002055.SZ,6.13,5.01
20250403,002056.SZ,16.78,13.73
20250403,002057.SZ,9.02,7.38
20250403,002058.SZ,13.04,10.67
20250403,002059.SZ,6.15,5.03
20250403,002060.SZ,3.87,3.17
20250403,002061.SZ,4.31,3.53
20250403,002062.SZ,6.25,5.11
20250403,002063.SZ,6.83,5.59
20250403,002064.SZ,8.44,6.9
20250403,002065.SZ,11.44,9.36
20250403,002066.SZ,11.98,9.8
20250403,002067.SZ,4.22,3.46
20250403,002068.SZ,13.42,10.98
20250403,002069.SZ,3.95,3.23
20250403,002072.SZ,4.63,3.79
20250403,002073.SZ,10.07,8.24
20250403,002074.SZ,24.01,19.65
20250403,002075.SZ,6.4,5.24
20250403,002076.SZ,3.71,3.03
20250403,002077.SZ,15.81,12.93
20250403,002078.SZ,16.27,13.31
20250403,002079.SZ,10.98,8.98
20250403,002080.SZ,16.71,13.67
20250403,002081.SZ,3.71,3.03
20250403,002082.SZ,6.74,5.52
20250403,002083.SZ,5.5,4.5
20250403,002084.SZ,3.45,2.83
20250403,002085.SZ,19.28,15.78
20250403,002086.SZ,2.94,2.4
20250403,002088.SZ,14.81,12.11
20250403,002090.SZ,10.76,8.8
20250403,002091.SZ,8.59,7.03
20250403,002092.SZ,4.79,4.33
20250403,002093.SZ,12.17,9.95
20250403,002094.SZ,5.86,4.8
20250403,002095.SZ,19.5,15.96
20250403,002096.SZ,12.72,10.4
20250403,002097.SZ,8.32,6.8
20250403,002098.SZ,9.09,7.43
